geonameid	name	latitude	longitude	cc	timezone
3837441	San Jorge	-31.896	-61.860	AR	America/Argentina/Cordoba
3837675	San Francisco	-31.425	-62.084	AR	America/Argentina/Cordoba
3837702	Catamarca	-28.470	-65.785	AR	America/Argentina/Catamarca
3837980	San Antonio Oeste	-40.732	-64.948	AR	America/Argentina/Salta
3838233	Salta	-24.786	-65.412	AR	America/Argentina/Salta
3838506	Rufino	-34.268	-62.713	AR	America/Argentina/Cordoba
3838583	Rosario	-32.947	-60.639	AR	America/Argentina/Cordoba
3838793	Rio Tercero	-32.177	-64.113	AR	America/Argentina/Cordoba
3838797	Rio Segundo	-31.650	-63.912	AR	America/Argentina/Cordoba
3838854	Rio Grande	-53.788	-67.710	AR	America/Argentina/Ushuaia
3838859	Rio Gallegos	-51.623	-69.218	AR	America/Argentina/Rio_Gallegos
3838874	Rio Cuarto	-33.130	-64.353	AR	America/Argentina/Cordoba
3838902	Rio Ceballos	-31.170	-64.318	AR	America/Argentina/Cordoba
3839307	Rawson	-43.300	-65.102	AR	America/Argentina/Catamarca
3839479	Rafaela	-31.250	-61.487	AR	America/Argentina/Cordoba
3839490	Quitilipi	-26.871	-60.215	AR	America/Argentina/Cordoba
3839982	Punta Alta	-38.881	-62.075	AR	America/Argentina/Buenos_Aires
3840092	Puerto Madryn	-42.768	-65.038	AR	America/Argentina/Catamarca
3840300	Presidencia Roque Saenz Pena	-26.791	-60.441	AR	America/Argentina/Cordoba
3840860	Pocito	-31.683	-68.583	AR	America/Argentina/San_Juan
3840885	Plottier	-38.967	-68.233	AR	America/Argentina/Salta
3841490	Pergamino	-33.891	-60.575	AR	America/Argentina/Buenos_Aires
3841500	Perez	-32.998	-60.768	AR	America/Argentina/Cordoba
3841956	Parana	-31.733	-60.529	AR	America/Argentina/Cordoba
3842190	Palpala	-24.258	-65.214	AR	America/Argentina/Jujuy
3842670	Olavarria	-36.894	-60.323	AR	America/Argentina/Buenos_Aires
3842881	Nueve de Julio	-35.444	-60.885	AR	America/Argentina/Buenos_Aires
3843123	Neuquen	-38.952	-68.059	AR	America/Argentina/Salta
3843619	Morteros	-30.711	-62.007	AR	America/Argentina/Cordoba
3843803	Monteros	-27.168	-65.499	AR	America/Argentina/Tucuman
3844421	Mendoza	-32.891	-68.827	AR	America/Argentina/Mendoza
3844899	Marcos Juarez	-32.698	-62.107	AR	America/Argentina/Cordoba
3845330	Machagai	-26.926	-60.049	AR	America/Argentina/Cordoba
3846864	Lincoln	-34.868	-61.529	AR	America/Argentina/Buenos_Aires
3846915	Libertador General San Martin	-23.813	-64.794	AR	America/Argentina/Jujuy
3848687	Las Brenas	-27.088	-61.082	AR	America/Argentina/Cordoba
3848950	La Rioja	-29.411	-66.851	AR	America/Argentina/La_Rioja
3851331	La Falda	-31.093	-64.484	AR	America/Argentina/Cordoba
3852374	La Calera	-31.346	-64.338	AR	America/Argentina/Cordoba
3852468	Laboulaye	-34.127	-63.391	AR	America/Argentina/Cordoba
3853354	Junin	-34.594	-60.946	AR	America/Argentina/Buenos_Aires
3853491	Joaquin V. Gonzalez	-25.114	-64.126	AR	America/Argentina/Salta
3853510	Jesus Maria	-30.982	-64.094	AR	America/Argentina/Cordoba
3854895	Granadero Baigorria	-32.857	-60.718	AR	America/Argentina/Cordoba
3854985	Gobernador Galvez	-33.030	-60.640	AR	America/Argentina/Cordoba
3855041	General Villegas	-35.033	-63.015	AR	America/Argentina/Buenos_Aires
3855065	General Roca	-39.033	-67.583	AR	America/Argentina/Salta
3855074	General Pinedo	-27.325	-61.281	AR	America/Argentina/Cordoba
3855075	General Pico	-35.659	-63.758	AR	America/Argentina/Salta
3855116	General Mosconi	-22.596	-63.811	AR	America/Argentina/Salta
3855244	Galvez	-32.029	-61.221	AR	America/Argentina/Cordoba
3855554	Firmat	-33.459	-61.483	AR	America/Argentina/Cordoba
3855666	Famailla	-27.055	-65.402	AR	America/Argentina/Tucuman
3855974	Esquel	-42.911	-71.319	AR	America/Argentina/Catamarca
3856022	Esperanza	-31.449	-60.932	AR	America/Argentina/Cordoba
